longitude_of_pickup,latitude_of_pickup,longitude_of_dropoff,latitude_of_dropoff,datetime.X1,datetime.X2,datetime.X3,weekdays
-73.974492,40.751369,-74.010585,40.703364,09-03-2011,07:24:34,UTC,Wednesday
-73.991607,40.76318,-73.982718,40.76239,04-08-2011,10:38:00,UTC,Thursday
-74.035839,40.74732,-74.035839,40.74732,25-03-2009,00:08:52,UTC,Wednesday
-74.00767,40.732177,-73.974663,40.758932,22-03-2010,10:01:00,UTC,Monday
-73.986681,40.725659,-73.977068,40.754504,25-03-2012,09:22:45,UTC,Sunday
-73.965315,40.790852,-73.978195,40.766375,05-06-2012,09:16:00,UTC,Tuesday
-73.972195,40.765883,-73.967942,40.761951,06-11-2012,11:33:14,UTC,Tuesday
-73.982272,40.748357,-73.969325,40.763877,22-05-2014,18:30:00,UTC,Thursday
-73.991797,40.735262,-73.975915,40.748697,17-10-2014,08:28:00,UTC,Friday
-73.95331,40.787772,-73.944352,40.719772,06-12-2012,18:05:00,UTC,Thursday
-73.96083,40.77308,-73.978372,40.774907,06-12-2012,18:05:00,UTC,Thursday
-73.97339,40.743883,-73.954021,40.766063,20-07-2014,12:48:35,UTC,Sunday
-74.000122,40.74308,-74.00615,40.734233,25-01-2009,18:41:00,UTC,Sunday
-73.961598,40.716487,-73.960417,40.674963,27-03-2010,02:26:39,UTC,Saturday
-73.966957,40.761268,-73.967912,40.765535,05-01-2011,17:39:00,UTC,Wednesday
-73.872862,40.774105,-73.970593,40.764393,11-05-2012,15:03:53,UTC,Friday
-73.995083,40.739527,-73.999599,40.726264,03-01-2010,10:20:12,UTC,Sunday
-73.972018,40.750142,-74.006008,40.73622,08-11-2012,21:00:00,UTC,Thursday
-73.993701,40.741569,-73.987999,40.748834,23-11-2013,23:34:03,UTC,Saturday
-73.966473,40.7575,-73.993336,40.745051,17-06-2010,16:12:58,UTC,Thursday
-73.87082,40.773748,-73.808317,40.7003,19-08-2012,19:56:34,UTC,Sunday
0,0,0,0,17-01-2013,17:22:00,UTC,Thursday
-73.971696,40.763378,-73.962035,40.776598,10-05-2013,16:39:08,UTC,Friday
-73.98721,40.729325,-73.931985,40.697207,17-09-2013,04:22:00,UTC,Tuesday
-73.988492,40.717977,-73.97818,40.737407,06-01-2014,21:21:00,UTC,Monday
-73.986588,40.72165,-74.008005,40.717167,30-09-2010,08:38:00,UTC,Thursday
-73.98213,40.774807,-73.973583,40.789645,06-10-2012,15:47:00,UTC,Saturday
-74.002843,40.733692,-73.987882,40.72859,11-02-2013,00:13:00,UTC,Monday
-73.983837,40.676052,-74.002522,40.723145,12-09-2014,23:10:00,UTC,Friday
-73.977023,40.7526,-73.79031,40.643783,22-09-2009,21:14:00,UTC,Tuesday
-73.988006,40.737723,-73.965699,40.766095,03-02-2012,13:46:35,UTC,Friday
-73.9882,40.75909,-73.923683,40.86861,12-02-2012,01:26:00,UTC,Sunday
-73.947472,40.771227,-73.981832,40.760272,21-12-2012,06:47:00,UTC,Friday
-73.984723,40.748023,-73.977245,40.757891,01-11-2014,16:51:09,UTC,Saturday
-73.950305,40.785607,-73.943587,40.789532,26-01-2013,18:36:00,UTC,Saturday
-73.980735,40.747911,-73.97053,40.761998,20-05-2013,11:03:50,UTC,Monday
-73.996986,40.755428,-73.953194,40.802101,31-05-2015,07:33:18,UTC,Sunday
-74.003448,40.733101,-74.008003,40.707214,15-02-2015,22:41:32,UTC,Sunday
-73.9578,40.768003,-73.981712,40.763392,25-06-2009,10:29:00,UTC,Thursday
-73.983735,40.746697,-73.954411,40.772219,23-07-2009,17:05:10,UTC,Thursday
-73.98103,40.729782,-73.993011,40.752803,19-03-2011,15:00:27,UTC,Saturday
-73.963115,40.774034,-73.975251,40.760823,06-05-2011,11:37:14,UTC,Friday
-73.962458,40.759027,-73.986199,40.753397,08-02-2013,09:50:04,UTC,Friday
-74.003848,40.720855,-73.98098,40.668304,24-08-2010,01:39:26,UTC,Tuesday
-73.982265,40.762062,-73.76855,40.675135,13-05-2014,22:19:00,UTC,Tuesday
-74.005677,40.745547,-73.962663,40.794295,25-10-2014,21:24:00,UTC,Saturday
-73.985489,40.74728,-74.007675,40.740768,19-04-2015,22:21:12,UTC,Sunday
-73.950972,40.785633,-74.01024,40.720302,17-05-2010,07:44:00,UTC,Monday
-74.00844,40.711253,-74.001313,40.731078,26-10-2011,03:37:00,UTC,Wednesday
-73.980911,40.742065,-73.97699,40.751656,18-04-2015,09:30:31,UTC,Saturday
-73.974938,40.762091,-74.003309,40.706195,27-02-2009,13:31:21,UTC,Friday
-73.980755,40.680558,-73.98911,40.726788,16-07-2009,20:33:00,UTC,Thursday
-73.991245,40.739058,-73.992972,40.76768,16-05-2011,13:10:38,UTC,Monday
-73.992583,40.730417,-74.005352,40.740247,09-08-2013,21:19:00,UTC,Friday
-73.979872,40.749027,-73.976553,40.757498,14-03-2010,15:40:00,UTC,Sunday
-73.971541,40.764009,-73.975937,40.755971,27-04-2011,13:19:48,UTC,Wednesday
-74.001099,40.721497,-73.959435,40.653065,30-01-2015,00:16:06,UTC,Friday
-73.975189,40.759095,-73.98051,40.76761,04-11-2014,12:11:19,UTC,Tuesday
-74.003018,40.73978,-73.991533,40.733091,27-12-2009,21:07:39,UTC,Sunday
-73.991037,40.750049,-73.980438,40.75193,04-07-2010,13:07:47,UTC,Sunday
-73.949477,40.768018,-74.003118,40.733022,12-06-2011,13:33:00,UTC,Sunday
-73.992214,40.758864,-73.9938,40.722718,28-08-2012,12:29:40,UTC,Tuesday
-73.999998,40.727087,-73.992448,40.735602,11-11-2012,18:23:00,UTC,Sunday
-73.863891,40.770005,-74.007246,40.705533,24-03-2013,18:05:42,UTC,Sunday
-73.954598,40.78676,-73.966013,40.768112,13-08-2014,08:26:00,UTC,Wednesday
-73.994143,40.751193,-73.988897,40.759742,16-01-2009,21:10:00,UTC,Friday
-73.982279,40.768364,-73.985968,40.762939,21-01-2011,18:43:46,UTC,Friday
-73.981496,40.781004,-73.99592,40.738813,26-02-2011,20:27:36,UTC,Saturday
-73.997728,40.746099,-73.947656,40.829451,22-06-2013,02:35:01,UTC,Saturday
-73.982357,40.762498,-73.97321,40.755345,06-06-2009,23:56:00,UTC,Saturday
-73.96707,40.769178,-73.954895,40.77821,24-01-2009,09:51:00,UTC,Saturday
-73.944023,40.775959,-73.955048,40.78508,27-02-2015,07:50:56,UTC,Friday
-73.982095,40.774001,-73.975373,40.787111,25-03-2009,14:48:49,UTC,Wednesday
-73.98353,40.766992,-73.986255,40.779708,10-09-2010,18:45:00,UTC,Friday
-73.981154,40.729204,-74.007407,40.74851,31-08-2011,13:47:02,UTC,Wednesday
-73.963511,40.761732,-73.917488,40.739776,12-04-2013,04:39:51,UTC,Friday
-73.983415,40.761844,-73.990414,40.756375,29-05-2009,09:46:11,UTC,Friday
-74.006055,40.733166,-74.002895,40.74553,15-07-2010,19:09:01,UTC,Thursday
-73.952198,40.788107,-73.980767,40.774995,07-09-2009,18:52:00,UTC,Monday
-74.008083,40.719238,-73.99832,40.737977,09-06-2010,06:20:32,UTC,Wednesday
-73.995636,40.746573,-73.984437,40.767145,15-04-2012,17:02:44,UTC,Sunday
-73.972072,40.755692,-73.972082,40.755727,06-02-2013,14:52:00,UTC,Wednesday
-73.99049,40.755982,-73.974202,40.75421,13-12-2011,05:56:00,UTC,Tuesday
-73.95485,40.76542,-74.00751,40.73877,27-07-2014,08:22:00,UTC,Sunday
-73.954462,40.764046,-73.994593,40.729272,06-06-2013,15:23:56,UTC,Thursday
-74.01278,40.707952,-73.997932,40.760632,12-07-2014,15:22:00,UTC,Saturday
-74.005278,40.735298,-73.986698,40.729892,25-05-2010,20:14:00,UTC,Tuesday
-74.004935,40.729625,-74.016156,40.71741,08-09-2012,00:49:20,UTC,Saturday
-73.998488,40.726303,-73.998488,40.726303,08-01-2014,21:55:58,UTC,Wednesday
0,0,0,0,05-09-2010,17:08:00,UTC,Sunday
-73.9265,40.765577,-73.937897,40.76451,30-08-2012,18:57:00,UTC,Thursday
-73.987285,40.718622,-73.959295,40.778482,02-05-2013,07:41:00,UTC,Thursday
-73.996652,40.744495,-73.980253,40.737635,05-02-2014,00:28:00,UTC,Wednesday
-73.959222,40.763282,-73.9633,40.716935,12-01-2010,17:11:00,UTC,Tuesday
-73.974895,40.751455,-73.981754,40.783542,07-11-2010,17:14:23,UTC,Sunday
-73.863072,40.768622,-73.982145,40.736167,22-04-2012,00:35:00,UTC,Sunday
-73.989692,40.735497,-73.982012,40.739392,05-01-2013,21:36:00,UTC,Saturday
-74.00031,40.747961,-73.993636,40.757229,05-10-2013,09:12:21,UTC,Saturday
-74.00145,40.717487,-74.017455,40.709785,16-11-2009,23:53:00,UTC,Monday
-73.985185,40.72777,-73.980605,40.759143,05-04-2011,11:29:00,UTC,Tuesday
-73.993973,40.746577,-74.00506,40.709365,25-04-2012,20:39:00,UTC,Wednesday
-73.795677,40.807722,-73.978683,40.724365,10-01-2011,16:07:00,UTC,Monday
-73.98637,40.74738,-73.975567,40.744572,14-01-2011,18:10:00,UTC,Friday
-73.948001,40.77854,-73.958566,40.778483,02-04-2012,08:02:16,UTC,Monday
-73.954108,40.766901,-73.984133,40.743475,10-02-2010,08:57:54,UTC,Wednesday
-73.994009,40.76144,-73.972811,40.792574,31-05-2011,22:21:01,UTC,Tuesday
-73.995331,40.739986,-73.987655,40.736707,26-09-2011,09:32:42,UTC,Monday
-73.982332,40.768633,-73.983343,40.744372,23-10-2012,08:09:25,UTC,Tuesday
-73.9952,40.731697,-73.94977,40.780347,07-09-2013,22:29:00,UTC,Saturday
-74.002707,40.72664,-73.991825,40.72722,31-07-2012,19:20:00,UTC,Tuesday
-73.990953,40.733067,-73.996235,40.72557,26-08-2011,08:00:00,UTC,Friday
-73.985132,40.76853,-74.002285,40.730008,17-03-2013,12:56:58,UTC,Sunday
-73.972214,40.765572,-73.979584,40.736469,25-05-2015,15:11:09,UTC,Monday
-73.998287,40.72749,-73.989854,40.735239,08-04-2009,19:11:10,UTC,Wednesday
-73.980196,40.726966,-73.956413,40.77547,06-06-2009,01:57:52,UTC,Saturday
-73.983758,40.74643,-73.963557,40.774088,27-02-2011,14:45:00,UTC,Sunday
-73.955268,40.782767,-73.932382,40.794812,13-01-2012,11:28:00,UTC,Friday
-73.981942,40.763977,-73.870455,40.773607,16-03-2012,07:58:00,UTC,Friday
-73.98972,40.75238,-74.007553,40.743197,18-06-2012,20:57:27,UTC,Monday
-73.995802,40.749905,-73.994543,40.750907,23-02-2010,09:49:00,UTC,Tuesday
-73.991863,40.754275,-73.983796,40.753213,06-01-2012,07:05:08,UTC,Friday
-73.973857,40.764185,-73.994435,40.750242,21-07-2014,14:03:00,UTC,Monday
-73.991485,40.754599,-74.00497,40.751693,05-08-2014,11:44:33,UTC,Tuesday
-73.989142,40.720105,-73.988777,40.720662,29-03-2012,03:51:00,UTC,Thursday
-73.98948,40.743287,-73.965692,40.754512,30-06-2012,13:43:00,UTC,Saturday
-73.978991,40.72375,-73.963046,40.711855,31-01-2014,04:49:53,UTC,Friday
-74.000552,40.727492,-74.005037,40.719123,16-11-2010,19:40:00,UTC,Tuesday
-74.002462,40.718762,-74.007071,40.705536,15-12-2012,19:11:53,UTC,Saturday
-73.984997,40.768466,-73.944564,40.800466,20-07-2014,23:51:54,UTC,Sunday
-73.982483,40.75674,-73.789985,40.64691,24-05-2010,14:24:00,UTC,Monday
0,0,0,0,24-07-2011,01:14:35,UTC,Sunday
-73.947035,40.776027,-73.955498,40.764307,18-08-2012,18:33:00,UTC,Saturday
-73.977897,40.762802,-73.99153,40.750252,08-08-2009,21:32:00,UTC,Saturday
-73.986402,40.754723,-73.998898,40.739248,08-01-2010,00:28:00,UTC,Friday
-73.967425,40.755712,-73.983035,40.734913,19-09-2010,19:28:00,UTC,Sunday
-73.971088,40.792648,-73.968405,40.769673,16-05-2012,18:14:00,UTC,Wednesday
-73.959669,40.779718,-73.976259,40.788413,13-02-2009,16:54:52,UTC,Friday
-73.979345,40.77663,-73.973842,40.757074,20-06-2009,19:28:37,UTC,Saturday
-73.98088,40.779967,-73.953747,40.78777,03-09-2013,08:08:00,UTC,Tuesday
-74.008125,40.738935,-73.980522,40.759953,20-01-2013,14:33:27,UTC,Sunday
-73.988834,40.76428,-73.941405,40.838664,31-07-2013,06:51:13,UTC,Wednesday
-73.976474,40.765048,-73.964665,40.762986,09-09-2013,22:12:59,UTC,Monday
-73.996068,40.732605,-73.980675,40.761862,23-01-2009,07:28:00,UTC,Friday
-73.973211,40.760752,-73.974265,40.788281,18-02-2011,13:19:49,UTC,Friday
-73.997845,40.721235,-73.988257,40.764125,11-05-2013,19:51:00,UTC,Saturday
-73.984227,40.766897,-73.96239,40.776037,13-09-2014,12:17:00,UTC,Saturday
-73.968534,40.752603,-73.992625,40.742916,21-04-2009,22:59:27,UTC,Tuesday
-73.95554,40.781958,-73.962196,40.772095,26-09-2009,15:17:20,UTC,Saturday
-73.789506,40.64704,-73.815622,40.680364,28-05-2010,21:33:07,UTC,Friday
-73.978602,40.76412,-74.008858,40.715637,02-05-2011,08:20:11,UTC,Monday
-73.961975,40.776112,-73.954849,40.774075,14-02-2015,19:00:23,UTC,Saturday
-74.006636,40.751407,-73.954979,40.765281,02-05-2011,12:44:59,UTC,Monday
-73.954497,40.769857,-73.984315,40.746007,24-06-2012,17:33:00,UTC,Sunday
-74.001343,40.74132,-73.928619,40.864267,22-05-2010,23:29:57,UTC,Saturday
-73.993112,40.719911,-73.956729,40.720723,30-06-2010,02:22:05,UTC,Wednesday
-73.978778,40.753502,-73.973247,40.748147,26-04-2013,02:06:00,UTC,Friday
-73.99578,40.716218,-74.009132,40.72078,02-05-2013,03:57:12,UTC,Thursday
-74.003665,40.736906,-73.997843,40.724187,23-01-2011,11:44:28,UTC,Sunday
-73.97733,40.74948,-73.987669,40.732709,14-10-2012,21:06:27,UTC,Sunday
-74.00399,40.747978,-73.983192,40.756329,30-04-2015,14:07:57,UTC,Thursday
-73.983249,40.734655,-73.991278,40.738918,12-07-2010,09:44:33,UTC,Monday
-73.962981,40.766443,-73.98893,40.731434,08-01-2012,19:03:15,UTC,Sunday
-73.97935,40.784608,-73.963933,40.808145,24-04-2012,13:00:36,UTC,Tuesday
-73.968675,40.799103,-73.935898,40.849863,09-05-2014,09:42:16,UTC,Friday
-73.990057,40.756307,-73.949604,40.834464,31-07-2009,13:53:52,UTC,Friday
-74.002198,40.739608,-73.987342,40.720295,18-11-2012,12:17:00,UTC,Sunday
-73.99633,40.753225,-73.978895,40.766963,15-06-2011,18:07:00,UTC,Wednesday
-73.995892,40.746454,-73.995892,40.746454,25-08-2012,01:53:42,UTC,Saturday
-74.005583,40.740728,-74.003423,40.748705,06-09-2012,13:41:00,UTC,Thursday
-73.964958,40.775261,-73.949661,40.809689,13-05-2009,18:17:00,UTC,Wednesday
0,0,0,0,30-10-2009,18:13:00,UTC,Friday
-73.967598,40.756242,-73.953277,40.76833,17-01-2010,22:07:00,UTC,Sunday
-74.008134,40.748631,-73.952349,40.780512,06-12-2009,11:58:29,UTC,Sunday
-73.95394,40.781298,-73.994423,40.75014,30-06-2010,06:15:00,UTC,Wednesday
-73.939093,40.805102,-73.956073,40.771995,04-04-2011,18:56:00,UTC,Monday
-73.981627,40.78042,-74.008465,40.734012,03-03-2014,23:30:00,UTC,Monday
-74.00269,40.739438,-73.994579,40.75057,19-05-2014,20:59:26,UTC,Monday
-73.958749,40.781019,-73.945876,40.778165,07-12-2011,19:40:21,UTC,Wednesday
-73.98779,40.721226,-73.992425,40.735723,17-06-2012,02:05:53,UTC,Sunday
-73.969465,40.79798,-73.982315,40.776767,01-01-2013,14:26:00,UTC,Tuesday
-73.988568,40.732097,-73.957498,40.742657,08-10-2011,00:24:00,UTC,Saturday
-73.966597,40.794345,-73.965682,40.803808,30-07-2012,16:19:08,UTC,Monday
-73.999432,40.749066,-73.995077,40.738264,09-09-2012,10:24:15,UTC,Sunday
-73.781127,40.645007,-73.981802,40.762515,14-06-2013,17:37:00,UTC,Friday
-73.956606,40.771111,-73.977111,40.776811,28-02-2014,22:45:07,UTC,Friday
-73.981932,40.777668,-73.960058,40.809688,10-06-2014,14:18:29,UTC,Tuesday
-73.953102,40.7887,-73.956779,40.805904,29-03-2015,13:31:25,UTC,Sunday
-73.982432,40.745747,-73.982432,40.745747,14-12-2009,12:33:00,UTC,Monday
-73.991995,40.74499,-73.986237,40.729637,21-09-2013,02:54:00,UTC,Saturday
-73.988988,40.777013,-73.997445,40.760155,31-08-2009,10:25:00,UTC,Monday
-74.006642,40.738927,-74.010828,40.717907,18-01-2011,23:48:00,UTC,Tuesday
-73.966612,40.759278,-73.975773,40.755462,26-06-2012,13:08:14,UTC,Tuesday
-73.987365,40.738572,-73.977218,40.775352,21-01-2010,08:39:00,UTC,Thursday
-73.989807,40.74123,-73.993917,40.726492,21-07-2011,15:43:00,UTC,Thursday
-73.95906,40.781061,-73.96206,40.768604,06-11-2013,11:26:54,UTC,Wednesday
-73.985652,40.72212,-73.970955,40.751952,09-02-2014,02:17:00,UTC,Sunday
-73.955116,40.76899,-73.984238,40.74844,18-04-2015,08:29:08,UTC,Saturday
-73.870936,40.773703,-73.914269,40.753681,27-03-2010,22:20:51,UTC,Saturday
-73.958063,40.760414,-73.861443,40.768181,15-06-2010,13:31:08,UTC,Tuesday
-73.98674,40.755362,-73.995713,40.764137,13-09-2010,09:37:00,UTC,Monday
-73.984556,40.742882,-73.959081,40.763551,04-04-2011,20:59:01,UTC,Monday
-73.981019,40.781874,-73.981997,40.756597,08-05-2011,10:43:27,UTC,Sunday
-73.95166,40.772657,-74.010583,40.721405,11-07-2014,05:07:00,UTC,Friday
-73.97402,40.762828,-73.940839,40.726467,21-08-2014,10:21:17,UTC,Thursday
-73.988594,40.753364,-73.989319,40.723218,31-10-2013,11:49:16,UTC,Thursday
-73.987888,40.721048,-73.983132,40.731187,15-11-2013,01:51:35,UTC,Friday
-73.980209,40.783733,-74.011345,40.644157,10-05-2015,22:41:10,UTC,Sunday
-74.010727,40.710091,-73.9981,40.7229,20-06-2015,09:50:28,UTC,Saturday
-73.977984,40.754546,-73.958947,40.779093,13-03-2009,17:43:18,UTC,Friday
-73.970892,40.755915,-73.966747,40.760517,27-01-2011,21:30:00,UTC,Thursday
-73.965723,40.758641,-73.937824,40.855636,24-11-2011,01:58:25,UTC,Thursday
-73.974899,40.751095,-73.908546,40.881878,02-06-2015,23:16:15,UTC,Tuesday
-73.873054,40.774086,-73.982727,40.771496,19-03-2015,12:38:17,UTC,Thursday
-73.978945,40.76707,-73.977897,40.783568,16-07-2009,22:38:00,UTC,Thursday
